Entity,Code,Year,Population living in slums (% of urban population) (% of urban population)
Afghanistan,AFG,"2014",62.7
Angola,AGO,"2014",55.5
Argentina,ARG,"2014",16.7
Armenia,ARM,"2014",14.4
Bangladesh,BGD,"2014",55.1
Belize,BLZ,"2014",10.8
Benin,BEN,"2014",61.5
Bolivia,BOL,"2014",43.5
Brazil,BRA,"2014",22.3
Burkina Faso,BFA,"2014",65.8
Burundi,BDI,"2014",57.9
Cambodia,KHM,"2014",55.1
Cameroon,CMR,"2014",37.8
Central African Republic,CAF,"2014",93.3
Chad,TCD,"2014",88.2
China,CHN,"2014",25.2
Colombia,COL,"2014",13.1
Comoros,COM,"2014",69.6
Congo,COG,"2014",46.9
Costa Rica,CRI,"2014",5.5
Ivory Coast,CIV,"2014",56
Zaire,ZAR,"2014",74.8
Djibouti,DJI,"2014",65.6
Dominican Republic,DOM,"2014",12.1
Ecuador,ECU,"2014",36
Egypt,EGY,"2014",10.6
Equatorial Guinea,GNQ,"2014",66.2
Ethiopia,ETH,"2014",73.9
Gabon,GAB,"2014",37
Gambia,GMB,"2014",34.8
Ghana,GHA,"2014",37.9
Guatemala,GTM,"2014",34.5
Guinea,GIN,"2014",43.3
Guinea-Bissau,GNB,"2014",82.3
Guyana,GUY,"2014",33.1
Haiti,HTI,"2014",74.4
Honduras,HND,"2014",27.5
India,IND,"2014",24
Indonesia,IDN,"2014",21.8
Iraq,IRQ,"2014",47.2
Jordan,JOR,"2014",12.9
Kenya,KEN,"2014",56
Laos,LAO,"2014",31.4
Latin America & Caribbean,,"2014",20.47533682
Lesotho,LSO,"2014",50.8
Liberia,LBR,"2014",65.7
Madagascar,MDG,"2014",77.2
Malawi,MWI,"2014",66.7
Mali,MLI,"2014",56.3
Mauritania,MRT,"2014",79.9
Mexico,MEX,"2014",11.1
Mongolia,MNG,"2014",42.7
Morocco,MAR,"2014",13.1
Mozambique,MOZ,"2014",80.3
Myanmar,MMR,"2014",41
Namibia,NAM,"2014",33.2
Nepal,NPL,"2014",54.3
Niger,NER,"2014",70.1
Nigeria,NGA,"2014",50.2
Pakistan,PAK,"2014",45.5
Panama,PAN,"2014",25.8
Peru,PER,"2014",34.2
Philippines,PHL,"2014",38.3
Rwanda,RWA,"2014",53.2
Sao Tome and Principe,STP,"2014",86.6
Senegal,SEN,"2014",39.4
Sierra Leone,SLE,"2014",75.6
Somalia,SOM,"2014",73.6
South Africa,ZAF,"2014",23
South Sudan,SSD,"2014",95.6
Sudan,SDN,"2014",91.6
Suriname,SUR,"2014",7.3
Swaziland,SWZ,"2014",32.7
Syria,SYR,"2014",19.3
Tanzania,TZA,"2014",50.7
Thailand,THA,"2014",25
Togo,TGO,"2014",51.2
Tunisia,TUN,"2014",8
Turkey,TUR,"2014",11.9
Uganda,UGA,"2014",53.6
Vietnam,VNM,"2014",27.2
Yemen,YEM,"2014",60.8
Zambia,ZMB,"2014",54
Zimbabwe,ZWE,"2014",25.1
